onset,duration,description
2007-01-01 18:26:08,30.0,NonCAP
2007-01-01 18:26:38,30.0,NonCAP
2007-01-01 18:27:08,30.0,NonCAP
2007-01-01 18:27:38,30.0,NonCAP
2007-01-01 18:28:08,30.0,NonCAP
2007-01-01 18:28:38,30.0,NonCAP
2007-01-01 18:29:08,30.0,NonCAP
2007-01-01 18:29:38,30.0,NonCAP
2007-01-01 18:30:08,30.0,NonCAP
2007-01-01 18:30:38,30.0,NonCAP
2007-01-01 18:31:08,30.0,NonCAP
2007-01-01 18:31:38,30.0,NonCAP
2007-01-01 18:32:08,30.0,NonCAP
2007-01-01 18:32:38,30.0,NonCAP
2007-01-01 18:33:08,30.0,NonCAP
2007-01-01 18:33:38,30.0,NonCAP
2007-01-01 18:34:08,30.0,NonCAP
2007-01-01 18:34:38,30.0,NonCAP
2007-01-01 18:35:08,30.0,NonCAP
2007-01-01 18:35:38,30.0,NonCAP
2007-01-01 18:36:08,30.0,NonCAP
2007-01-01 18:36:38,30.0,NonCAP
2007-01-01 18:37:08,30.0,NonCAP
2007-01-01 18:37:38,30.0,NonCAP
2007-01-01 18:38:08,30.0,NonCAP
2007-01-01 18:38:38,30.0,NonCAP
2007-01-01 18:39:08,30.0,NonCAP
2007-01-01 18:39:38,30.0,NonCAP
2007-01-01 18:40:08,30.0,NonCAP
2007-01-01 18:40:38,30.0,NonCAP
2007-01-01 18:41:08,30.0,NonCAP
2007-01-01 18:41:38,30.0,NonCAP
2007-01-01 18:42:08,30.0,NonCAP
2007-01-01 18:42:38,30.0,NonCAP
2007-01-01 18:43:08,30.0,NonCAP
2007-01-01 18:43:38,30.0,NonCAP
2007-01-01 18:44:08,30.0,NonCAP
2007-01-01 18:44:38,30.0,NonCAP
2007-01-01 18:45:08,30.0,NonCAP
2007-01-01 18:45:38,30.0,NonCAP
2007-01-01 18:46:08,30.0,NonCAP
2007-01-01 18:46:38,30.0,NonCAP
2007-01-01 18:47:08,30.0,NonCAP
2007-01-01 18:47:38,30.0,NonCAP
2007-01-01 18:48:08,30.0,NonCAP
2007-01-01 18:48:38,30.0,NonCAP
2007-01-01 18:49:08,30.0,NonCAP
2007-01-01 18:49:38,30.0,NonCAP
2007-01-01 18:50:08,30.0,NonCAP
2007-01-01 18:50:38,30.0,NonCAP
2007-01-01 18:51:08,30.0,NonCAP
2007-01-01 18:51:38,30.0,NonCAP
2007-01-01 18:52:08,30.0,NonCAP
2007-01-01 18:52:38,30.0,NonCAP
2007-01-01 18:53:08,30.0,NonCAP
2007-01-01 18:53:38,30.0,NonCAP
2007-01-01 18:54:08,30.0,NonCAP
2007-01-01 18:54:38,30.0,NonCAP
2007-01-01 18:55:08,30.0,NonCAP
2007-01-01 18:55:38,30.0,NonCAP
2007-01-01 18:56:08,30.0,NonCAP
2007-01-01 18:56:38,30.0,NonCAP
2007-01-01 18:57:08,30.0,NonCAP
2007-01-01 18:57:38,30.0,NonCAP
2007-01-01 18:58:08,30.0,NonCAP
2007-01-01 18:58:38,30.0,NonCAP
2007-01-01 18:59:08,30.0,NonCAP
2007-01-01 18:59:38,30.0,NonCAP
2007-01-01 19:00:08,30.0,NonCAP
2007-01-01 19:00:38,30.0,NonCAP
2007-01-01 19:01:08,30.0,NonCAP
2007-01-01 19:01:38,30.0,NonCAP
2007-01-01 19:02:08,30.0,NonCAP
2007-01-01 19:02:38,30.0,NonCAP
2007-01-01 19:03:08,30.0,NonCAP
2007-01-01 19:03:38,30.0,NonCAP
2007-01-01 19:04:08,30.0,NonCAP
2007-01-01 19:04:38,30.0,NonCAP
2007-01-01 19:05:08,30.0,NonCAP
2007-01-01 19:05:38,30.0,NonCAP
